name;description;year;manufacturer;width;height;rotate
multigam;Multi Game (set 1);1992;<unknown>;256;240;0
multigm2;Multi Game 2;1992;Seo Jin;256;240;0
multigm3;Multi Game III;1992;Seo Jin;256;240;0
multigmt;Multi Game (Tung Sheng Electronics);1992;Tung Sheng Electronics;256;240;0
multiped;Multipede (Centipede/Millipede multigame kit);2002;hack (Braze Technologies);256;240;270
multiwin;Multi Win (Ver.0167, encrypted);1992;Fun World;384;232;0
murogem;Muroge Monaco (set 1);198?;<unknown>;256;256;0
musclhit;Muscle Ranking Kinniku Banzuke Spray Hitter;2000;Konami / TBS;320;240;0
mushisam;Mushihime-Sama (2004/10/12.MASTER VER.);2004;Cave (AMI license);320;240;270
mushitam;Puzzle! Mushihime-Tama (2005/09/09.MASTER VER);2005;Cave (AMI license);320;240;0
mushmagi;Mushroom Magic (Russia) (Atronic);2002;Atronic;512;224;0
musicbal;Music Ball;1988;Tecfri / Desystem S.A.;256;224;270
musicsrt;Music Sort (ver. 2.02);1995;ABM Games;352;240;0
musobana;Musoubana (Japan);1995;Nichibutsu / Yubis;640;240;0
mustache;Mustache Boy (Japan);1987;Seibu Kaihatsu (March license);240;248;90
mustang;US AAF Mustang (25th May. 1990);1990;UPL;256;224;0
mutantf;Mutant Fighter (World ver EM-5);1992;Data East Corporation;320;240;0
mv1bon;Believe It Or Not (Maygay, MV1 Video);199?;Maygay;640;300;0
mv1cpc;Caesar's Palace Club (Maygay, MV1 Video, set 1);199?;Maygay;640;300;0
mv1cwq;Crossword Quiz (Maygay, MV1 Video, set 1);199?;Maygay;640;300;0
mv1guac;Give Us A Clue (Maygay, MV1 Video, set 1);199?;Maygay;640;300;0
mv1sfx;Special Effects (Maygay, MV1 Video, set 1);199?;Maygay;640;300;90
mv1sfx2;Special Effects V2 (Maygay, MV1 Video);199?;Maygay;640;300;90
mv1wc;World Cup (Maygay, MV1 Video);199?;Maygay;640;300;0
mv4in1;Mini Vegas 4in1;1983;Entertainment Enterprises, Ltd.;416;256;0
mvme147;MVME-147;1989;Motorola;640;240;0
mvme162;MVME-162;1993;Motorola;640;240;0
mvp;MVP (set 2, US) (FD1094 317-0143);1989;Sega;320;224;0
mvsc;Marvel Vs. Capcom: Clash of Super Heroes (Euro 980123);1998;Capcom;384;224;0
mwalk;Michael Jackson's Moonwalker (World) (FD1094/8751 317-0159);1990;Sega;320;224;0
mwarr;Mighty Warriors (24/1);199?;Elettronica Video-Games S.R.L.;366;240;0
mwcbaseb;World Championship Baseball;1980;Mattel;1920;478;0
mwskins;Skins Game (1.06);2000;Midway;400;256;0
mx10;MX-10 (MSX1);1984;Casio;280;216;0
mx2178;Memorex 2178;1984;Memorex;256;224;0
mx5000;MX5000;1987;Konami;280;224;90
mx64;MX64 (MSX1);1984;Yeno;280;216;0
my1stddr;My First Dance Dance Revolution (US);2006;Konami;320;240;0
myangel;Kosodate Quiz My Angel (Japan);1996;MOSS / Namco;376;240;0
myangel2;Kosodate Quiz My Angel 2 (Japan);1997;MOSS / Namco;376;240;0
myangel3;Kosodate Quiz My Angel 3 (Japan, KQT1/VER.A);1998;MOSS / Namco;640;480;0
myb3k;MyBrain 3000;1982;Matsushita;600;400;0
mycom;MYCOMZ-80A;1981;Japan Electronics College;320;192;0
myhero;My Hero (US, not encrypted);1985;Coreland / Sega;512;224;0
mysticm;Mystic Marathon;1983;Williams;276;240;0
mysticri;Mystic Riders (World);1992;Irem;320;240;0
mystston;Mysterious Stones - Dr. John's Adventure;1984;Technos Japan;256;240;270
mystwarr;Mystic Warriors (ver EAA);1993;Konami;288;224;0
myvision;My Vision (KH-1000);1983;Nichibutsu;280;216;0
mywicodx;My Wico Deluxe (Family Sport 85-in-1);200?;<unknown>;320;240;0
mz1500;MZ-1500;1984;Sharp;320;200;0
mz2000;MZ-2000;1982;Sharp;640;400;0
mz2500;MZ-2500;1985;Sharp;640;200;0
mz3500;MZ-3500;198?;Sharp;256;256;0
mz6500;MZ-6500;198?;Sharp;640;480;0
mz700;MZ-700;1982;Sharp;320;200;0
mz800;MZ-800;1984;Sharp;320;200;0
mz80a;MZ-80A;1982;Sharp;320;200;0
mz80b;MZ-80B;1981;Sharp;640;400;0
mz80kj;MZ-80K (Japanese);1979;Sharp;320;200;0
mzr8105;Mizar VME8105;1987;Mizar Inc;640;240;0
n64;Nintendo 64;1996;Nintendo;3093;525;0
namcons1;Let's! TV Play Classic - Namco Nostalgia 1 (Japan);2006;Bandai / SSD Company LTD / Namco;256;224;0
namcons2;Let's! TV Play Classic - Namco Nostalgia 2 (Japan);2006;Bandai / SSD Company LTD / Namco;256;224;0
namcostr;Namco Stars;2000;Namco;384;240;0
nametune;Name That Tune (Bally, set 1);1986;Bally/Sente;256;240;0
naname;Naname de Magic! (Japan);1994;Atlus;320;240;0
nanos;NANOS;1985;Ingenieurhochschule fur Seefahrt Warnemunde/Wustrow;640;250;0
naomi;Naomi Bios;1998;Sega;640;480;0
naomi2;Naomi 2 Bios;2001;Sega;640;480;0
naomigd;Naomi GD-ROM Bios;2001;Sega;640;480;0
narc;Narc (rev 7.00);1988;Williams;512;400;0
nascom1;Nascom 1;1978;Nascom Microcomputers;384;256;0
nascom2;Nascom 2;1979;Nascom Microcomputers;384;224;0
nastar;Nastar (World);1988;Taito Corporation Japan;320;224;0
natodef;NATO Defense;1982;Pacific Novelty;256;256;0
naughtyb;Naughty Boy;1982;Jaleco;288;224;90
navarone;Navarone;1980;Namco;272;224;90
nbaf_31;NBA Fastbreak (3.1 - S3.0);1997;Bally;512;128;0
nbagold;NBA Showtime Gold / NFL Blitz 2000 (ver 3.0) (Sports Station?);2000;Midway Games;640;480;0
nbahangt;NBA Hangtime (rev L1.1 04/16/96);1996;Midway;400;254;0
nbajam;NBA Jam (rev 3.01 04/07/93);1993;Midway;400;254;0
nbajamte;NBA Jam TE (rev 4.0 03/23/94);1994;Midway;400;254;0
nbamht;NBA Maximum Hangtime (rev 1.03 06/09/97);1996;Midway;400;254;0
nbanfl;NBA Showtime / NFL Blitz 2000 (ver 2.1);1999;Midway Games;640;480;0
nbapbp;NBA Play By Play (ver JAA);1998;Konami;512;384;0
nbashowt;NBA Showtime: NBA on NBC (ver 2.0);1998;Midway Games;640;480;0
nbbatman;Ninja Baseball Bat Man (World);1993;Irem;320;240;0
nc100;NC100;1992;Amstrad plc;480;64;0
nc200;NC200;1993;Amstrad plc;480;128;0
nc96;New Cherry '96 Special Edition (v3.63, C1 PCB);1996;Amcoe;512;224;0
ncb3;Cherry Bonus III (ver.1.40, set 1);199?;Dyna;512;224;0
ncd16;NCD 16;1989;Network Computing Devices;1024;1024;0
ncd17c;NCD 17C;1990;Network Computing Devices;1024;768;0
ncd19;NCD 19;1990;Network Computing Devices;1280;1024;0
ncd19c;NCD19c;1990;Network Computing Devices;1280;1024;0
ncv1;Namco Classic Collection Vol.1;1995;Namco;288;224;90
ncv2;Namco Classic Collection Vol.2;1996;Namco;288;224;90
ndxron10;Royal on Ten (Noraut Deluxe hack);2005;<unknown>;464;248;0
nebulray;Nebulas Ray (World, NR2);1994;Namco;288;224;90
neckneck;Neck-n-Neck (v1.2);1992;Bundra Games/Incredible Technologies;400;240;0
nekkyoku;Rettou Juudan Nekkyoku Janshi - Higashi Nippon Hen (Japan);1988;Video System Co.;352;240;0
nemesis;Nemesis (ROM version);1985;Konami;256;224;0
nemo;Nemo (World 901130);1990;Capcom;384;224;0
neobattl;SD Gundam Neo Battling (Japan);1992;Banpresto / Sotsu Agency. Sunrise;384;240;270
neocdz;Neo-Geo CDZ (US);1996;SNK;320;224;0
neogeo;Neo-Geo MV-6F;1990;SNK;320;224;0
neoprint;Neo Print (Japan) (T2d);1996;SNK;384;240;0
neptunp2;Neptune's Pearls 2;199?;Unidesa?;256;224;0
neraidou;Neraidoula;199?;bootleg;512;256;0
neruton;Mahjong Neruton Haikujiradan (Japan, Rev. B?);1990;Dynax / Yukiyoshi Tokoro;508;240;180
nes;Nintendo Entertainment System / Famicom (NTSC);1985;Nintendo;256;240;0
netmerc;Sega NetMerc;1993;Sega;496;384;0
netmerc;Sega NetMerc;1993;Sega;496;384;0
nettoqc;Nettoh Quiz Champion (Japan);1995;Nakanihon;336;240;0
netwars;Net Wars;1983;Orca (Esco Trading Co license);256;224;90
nevada;VLC Nevada;1995;VLC Inc.;248;248;0
nevadafw;Nevada (French, encrypted);198?;<unknown>;384;232;0
new2001;New 2001 (Italy, Ver. 200N);2000;Subsino;640;240;0
newbrain;NewBrain AD;1981;Grundy Business Systems Ltd;640;250;0
newfant;New Fantasia (1995 copyright);1995;Comad & New Japan System;256;224;90
newhilop;New Hi-Low Poker;19??;Song Won?;464;248;0
newmcard;New Magic Card;2000;High Video;320;200;0
news;News (set 1);1993;Poby / Virus;256;224;0
newsin7;New Sinbad 7 (set 1);1983;ATW USA, Inc.;256;224;90
newxpang;New Cross Pang;1999;F2 System;320;236;0
next;NeXT Cube;1987;Next Software Inc;1120;832;0
nexts;NeXTstation;1990;Next Software Inc;1120;832;0
nextst;NeXTstation turbo;1990;Next Software Inc;1120;832;0
nf500a;NF500A;1985;China State-owned 830 Factory;336;192;0
nf_23x;No Fear: Dangerous Sports (2.3X);1995;Williams;512;128;0
nfb96;New Fruit Bonus '96 Special Edition (v3.63, C1 PCB);1996;Amcoe;512;224;0
nfl;NFL;2001;Stern;128;32;0
nflclsfb;NFL Classic Football (US, NCF3 Ver.A.);2003;Namco;640;480;0
nflfoot;NFL Football;1983;Bally Midway;512;480;0
nfm;New Fruit Machine (Ming-Yang Electronic, vFB02-07A);2003;Ming-Yang Electronic;512;224;0
nforcepc;Nvidia nForce PC (CRUSH11/12);2002;Nvidia;640;480;0
ngalsumr;Night Gal Summer [BET] (Japan 850702 NGS 0-01);1985;Nichibutsu;256;224;0
ngen;NGEN CP-001;1983;Convergent Technologies;720;348;0
ngg_13;No Good Gofers (1.3);1997;Williams;512;128;0
ngp;NeoGeo Pocket;1998;SNK;160;152;0
ngpgal;Nekketsu Grand-Prix Gal (Japan);1991;Nichibutsu;640;240;0
ngtbunny;Night Bunny (Japan 840601 MRN 2-10);1984;Nichibutsu;256;224;0
nhidctch;New Hidden Catch (World) / New Tul Lin Gu Lim Chat Ki '98 (Korea) (pcb ver 3.02);1999;Eolith;320;240;0
nhomerun;NEW Moero!! Pro Yakyuu Homerun Kyousou;1988;Jaleco;256;240;0
nibbler;Nibbler (rev 9, set 1);1982;Rock-Ola;256;224;90
nichidvd;Nichibutsu High Rate DVD BIOS;1998;Nichibutsu;543;465;0
nightgal;Night Gal (Japan 840920 AG 1-00);1984;Nichibutsu;256;224;0
nightlov;Night Love (Japan 860705);1986;Central Denshi;512;224;0
nightmare;Night Mare (Spain);1982;E.F.O.;280;216;90
nightstr;Night Striker (World);1989;Taito Corporation Japan;320;240;0
nimbus;Nimbus;1986;Research Machines;640;250;0
ninclown;Ninja Clowns (27 oct 91);1991;Strata/Incredible Technologies;360;240;0
ninjak;The Ninja Kids (World);1990;Taito Corporation Japan;320;224;0
ninjakd2;Ninja-Kid II / NinjaKun Ashura no Shou (set 1);1987;UPL;256;192;0
ninjakun;Ninjakun Majou no Bouken;1984;UPL (Taito license);256;192;0
ninjaw;The Ninja Warriors (World, later version);1987;Taito Corporation Japan;288;224;0
ninjaw;The Ninja Warriors (World, later version);1987;Taito Corporation Japan;288;224;0
ninjaw;The Ninja Warriors (World, later version);1987;Taito Corporation Japan;288;224;0
ninjemak;Ninja Emaki (US);1986;Nichibutsu;256;224;270
nitedrvr;Night Driver;1976;Atari;256;240;0
nitrobal;Nitro Ball (World, set 1);1992;Data East Corporation;320;240;270
niyanpai;Niyanpai (Japan);1996;Nichibutsu;640;240;0
nmg5;Multi 5 / New Multi Game 5 (set 1);1998;Yun Sung;320;240;0
nmouse;Naughty Mouse (set 1);1981;Amenip (Palcom Queen River);288;224;90
nms801;NMS-801 (MSX1);1983;Philips;280;216;0
nms8220a;NMS-8220 (13-aug-1986) (MSX2);1986;Philips;543;567;0
nms8245;NMS-8245 (MSX2);1986;Philips;543;567;0
nms8255;NMS-8255 (MSX2);1986;Philips;543;567;0
nms8260;NMS-8260 (Prototype) (MSX2);1986;Philips;543;567;0
nms8280;NMS-8280 (MSX2);1986;Philips;543;567;0
nmsengen;Nekketsu Mahjong Sengen! AFTER 5 (Japan);1991;Video System Co.;352;240;0
nndmseal;Nandemo Seal Iinkai;1997;I'Max / Jaleco;384;240;0
noahsark;Noah's Ark;1983;Enter-Tech, Ltd.;240;224;90
nob;Noboranka (Japan);1986;Coreland / Data East Corporation;512;224;270
noki3210;Nokia 3210;1999;Nokia;84;48;0
noki3310;Nokia 3310;2000;Nokia;84;48;0
noki3330;Nokia 3330;2001;Nokia;84;48;0
noki3410;Nokia 3410;2002;Nokia;84;48;0
noki5210;Nokia 5210;2002;Nokia;84;48;0
noki6210;Nokia 6210;2000;Nokia;84;48;0
noki6250;Nokia 6250;2000;Nokia;84;48;0
noki7110;Nokia 7110;1999;Nokia;84;48;0
noki8210;Nokia 8210;1999;Nokia;84;48;0
noki8250;Nokia 8250;2000;Nokia;84;48;0
noki8850;Nokia 8850;1999;Nokia;84;48;0
noki8890;Nokia 8890;2000;Nokia;84;48;0
nomnlnd;No Man's Land;1980;Universal;256;192;270
noraut3a;Noraut Joker Poker (V3.010a);2002;Noraut Ltd.;464;248;0
noraut3b;Noraut Joker Poker (V3.011a);2003;Noraut Ltd.;464;248;0
norautdx;Noraut Deluxe Poker (console);198?;Noraut Ltd.;464;248;0
norautjo;Noraut Joker Poker (original);198?;Noraut Ltd.;464;248;0
norautp;Noraut Poker;1988;Noraut Ltd.;464;248;0
norautpl;Noraut Joker Poker (Prologic HW);198?;Video Fun Games Ltd.;464;248;0
norautra;Noraut Red Hot Joker Poker (alt HW);198?;Noraut Ltd.;464;248;0
norautrh;Noraut Red Hot Joker Poker;1988;Noraut Ltd.;464;248;0
norautu;Noraut Poker (NTX10A);1988;Noraut Ltd.;464;248;0
norautua;Noraut unknown set 1 (console);198?;Noraut Ltd.;464;248;0
norautub;Noraut unknown set 2 (console);198?;Noraut Ltd.;464;248;0
nost;Nostradamus;1993;Face;320;224;270
notetakr;NoteTaker;1978;Xerox;640;480;0
nouryoku;Nouryoku Koujou Iinkai;1995;Tecmo;384;224;0
nova2001;Nova 2001 (Japan);1983;UPL;256;192;0
novoplay;Novo Play Multi Card / Club Card;1986;Admiral/Novomatic;384;232;0
npcartv1;Neo Print V1 (World) (E1a);1996;SNK;384;240;0
npcramen;Neo Print - Chicken Ramen (Japan);1996;SNK;384;240;0
npfpit;Neo Print - Fuyu Pri Iitoko-dori (Japan) (T4i 3.07);1999;SNK;384;240;0
npmillen;Neo Print - Millennium Multi Shot Edition (World) (T4i 3.07);1999;SNK;384;240;0
npotogib;Neo Print - Otogibanashi (Japan) (T4i 3.00);1997;SNK;384;240;0
nprsp;NeopriSP Retro Collection (Japan);1996;SNK;384;240;0
npscv1;Neo Print - Senyou Cassette Ver. 1 (Japan);1996;SNK;384;240;0
npskv;Neo Print - Suizokukan Version (Japan) (T4i 2.00);1997;SNK;384;240;0
npsprg98;Neo Print - Spring '98 (T4i 3.07);1998;SNK;384;240;0
npsprgv4;Neo Print - Spring Ver. 4 (Japan) (T4f 1.00);1997;SNK;384;240;0
npssr2;Neo Print Special: Sekai Ryokou 2 (Japan);1996;SNK;384;240;0
npusagif;Neo Print - Usagi Frame (Japan) (T4i 3.07);1997;SNK;384;240;0
nrallyx;New Rally X;1981;Namco;288;224;0
nratechu;Neratte Chu;1996;Seta;384;384;0
ns8lines;New Lucky 8 Lines / New Super 8 Lines (W-4);198?;<unknown>;512;224;0
nshrz;Horizon (North Star Computers, 4MHz);1976;North Star Computers;640;240;0
nslasher;Night Slashers (Korea Rev 1.3, DE-0397-0 PCB);1994;Data East Corporation;320;240;0
nsmpoker;NSM Poker (TMS9995);198?;NSM;256;256;0
nspirit;Ninja Spirit (World);1988;Irem;384;256;0
nss;Nintendo Super System BIOS;199?;Nintendo;512;225;0
nss;Nintendo Super System BIOS;199?;Nintendo;512;225;0
nstocker;Night Stocker (10/6/86);1986;Bally/Sente;256;240;0
nsub;N-Sub (upright);1980;Sega;256;224;270
ntcash;NtCash;1999;<unknown>;512;256;0
ntopstar;Mahjong Nerae! Top Star (Japan);1990;Nichibutsu;640;240;180
numanath;Numan Athletics (World);1993;Namco;304;224;0
number1;Number One;1996;San Remo Games;384;304;0
number10;Number Dieci (Poker);2000;PlayMark SRL;512;256;0
numcrash;Number Crash;1983;Hanshin Goraku / Peni;288;224;90
nummunch;Electronic Number Muncher;1989;VTech;1920;875;0
nvs_machrider;Vs. Mach Rider (Endurance Course Version);1985;Nintendo;256;240;0
nvs_mightybj;Vs. Mighty Bomb Jack (Japan);1986;Tecmo;256;240;0
nvs_platoon;Vs. Platoon;1987;Ocean Software Limited;256;240;0
nwarr;Night Warriors: Darkstalkers' Revenge (Euro 950316);1995;Capcom;384;224;0
nycaptor;N.Y. Captor;1985;Taito;256;224;0
nyjoker;New York Joker;2000;High Video;320;200;0
nyny;New York! New York!;1980;Sigma Enterprises Inc.;256;256;270
ob68k1a;OB68K1A Single Board Computer;1982;Omnibyte;640;240;0
oceanhun;The Ocean Hunter;1998;Sega;496;384;0
octopus;LSI Octopus;1986;Digital Microsystems;729;325;0
odyssey;Odyssey;1998;Silicon Gaming;640;480;0
odyssey2;Odyssey 2;1978;Magnavox;340;243;0
officeye;Office Yeo In Cheon Ha (version 1.2);2001;Danbi;320;240;0
offroad;Ironman Ivan Stewart's Super Off-Road (rev 4);1989;Leland Corporation;320;240;0
offroadc;Off Road Challenge (v1.63);1997;Midway;512;400;0
offroadt;Ironman Ivan Stewart's Super Off-Road Track-Pak;1989;Leland Corporation;320;240;0
offrthnd;Offroad Thunder;2000;Midway Games;640;480;0
offtwall;Off the Wall (2/3-player upright);1991;Atari Games;336;240;0
ohmygod;Oh My God! (Japan);1993;Atlus;320;240;0
ohpaipee;Oh! Paipee (Japan 890227);1989;Nichibutsu;512;240;270
oisipuzl;Oishii Puzzle Ha Irimasenka;1993;Sunsoft / Atlus;320;224;0
ojanko2;Ojanko Yakata 2bankan (Japan);1987;V-System Co.;288;224;0
ojankoc;Ojanko Club (Japan, Program Ver. 1.3);1986;V-System Co.;256;240;0
ojankohs;Ojanko High School (Japan);1988;V-System Co.;288;224;0
ojankoy;Ojanko Yakata (Japan);1986;V-System Co.;288;224;0
ojousan;Ojousan (Japan 871204);1987;Nichibutsu;512;224;0
okean240;Okeah-240;1986;<unknown>;256;256;0
olibochu;Oli-Boo-Chu;1981;Irem / GDI;256;240;270
olybossd;Olympia BOSS D;1981;Olympia International;640;308;0
olypeopl;People PC;198?;Olympia;640;475;0
olytext;Olympia Olytext 20;1985;Olympia International;640;308;0
omega;Omega;1986;Nihon System;256;224;270
omegaf;Omega Fighter;1989;UPL;256;192;270
omegrace;Omega Race (set 1);1981;Midway;;;0
omotesnd;Omotesandou (Japan 890215);1989;Anime Tec;512;240;0
ondrat;Ondra;1989;Tesla;320;256;0
oneshot;One Shot One Kill;1996;Promat;320;240;0
onetwo;One + Two;1997;Barko;512;256;0
onna34ro;Onna Sanshirou - Typhoon Gal;1985;Taito;256;224;0
opaopa;Opa Opa (MC-8123, 317-0042);1987;Sega;256;192;0
openice;2 On 2 Open Ice Challenge (rev 1.21);1995;Midway;400;254;0
optiger;Operation Tiger (Ver 2.14 O);1998;Taito;512;384;0
opwolf;Operation Wolf (World, set 1);1987;Taito Corporation Japan;320;240;0
opwolf3;Operation Wolf 3 (World);1994;Taito Corporation Japan;320;224;0
orangec;Orange Club - Maruhi Kagai Jugyou (Japan 880213);1988;Daiichi Denshi;512;224;0
orao;Orao 102;1984;PEL Varazdin;256;256;0
orbit;Orbit;1978;Atari;512;480;0
orbite;Orbite (prototype);1979?;Model Racing;260;224;270
orbitron;Orbitron;1982;Comsoft (Signatron USA license);768;224;270
orbituvi;UVI Compu-Game;198?;Orbit Electronics;192;262;0
orbs;Orbs (10/7/94 prototype?);1994;American Sammy;304;240;0
ordisava;Ordisavant (France);1988;Video Technology;120;9;0
ordyne;Ordyne (World);1988;Namco;288;224;180
oric1;Oric 1;1983;Tangerine;240;224;0
orion128;Orion 128;1990;<unknown>;384;256;0
orleg2;Oriental Legend 2 (V104, Oversea);2007;IGS;448;224;0
ormatu;Ormatu 2001;198?;Ormatu Electronics;192;262;0
orunners;OutRunners (World);1992;Sega;416;224;0
orunners;OutRunners (World);1992;Sega;416;224;0
osbexec;Executive;1982;Osborne;640;240;0
osborne1;Osborne-1;1981;Osborne;416;240;0
oscar;Psycho-Nics Oscar (World revision 0);1987;Data East Corporation;256;240;0
osman;Osman (World);1996;Mitchell;320;240;0
otatidai;Disco Mahjong Otachidai no Okite (Japan);1995;Sphinx;640;240;0
otchart;Off The Charts (Russian);2000;WMS;256;224;0
othello;Othello (version 3.0);1984;Success;384;512;0
othldrby;Othello Derby (Japan);1995;Sunwise;320;240;0
othunder;Operation Thunderbolt (World, rev 1);1988;Taito Corporation Japan;320;240;0
otomedius;Otomedius (ver GGG:J:A:A:2008041801);2007;Konami;640;480;0
otonano;Otona no Mahjong (Japan 880628);1988;Apple;512;224;0
otwalls;Off the Wall (Sente);1984;Bally/Sente;256;240;0
ougonhai;Mahjong Ougon no Hai;1991;Dynax;508;240;0
outfxies;The Outfoxies (World, OU2);1994;Namco;288;224;0
outlaw;Outlaw [TTL];1976;Atari;455;262;0
outrun;Out Run (sitdown/upright, Rev B);1986;Sega;320;224;0
outzone;Out Zone;1990;Toaplan;320;240;270
overdriv;Over Drive (set 1);1990;Konami;305;224;90
overrev;Over Rev (Model 2C, Revision A);1997;Jaleco;496;384;0
oz750;Wizard OZ-750;199?;Sharp;240;80;0
ozmawars;Ozma Wars (set 1);1979;SNK;260;224;270
ozon1;Ozon I;1983;Proma;256;224;90
p112;P112;1996;Dave Brooks;240;320;0
p2000t;Philips P2000T;1980;Philips;480;480;0
p47;P-47 - The Phantom Fighter (World);1988;Jaleco;256;224;0
p47aces;P-47 Aces (ver 1.0);1995;Jaleco;320;224;0
p500;P500 (NTSC);1983;Commodore Business Machines;418;235;0
p8000;P8000 (8bit Board);1989;EAW electronic Treptow;640;240;0
pacapp;Paca Paca Passion (Japan, PPP1/VER.A2);1998;Produce / Namco;640;480;0
pacapp2;Paca Paca Passion 2 (Japan, PKS1/VER.A);1999;Produce / Namco;640;480;0
pacappsp;Paca Paca Passion Special (Japan, PSP1/VER.A);1999;Produce / Namco;640;480;0
paceight;Pac-Eight;1996;Namco;320;240;0
pachifev;Pachifever;1983;Sanki Denshi Kogyo;280;216;270
pachiten;Medal Mahjong Pachi-Slot Tengoku [BET] (Japan);1993;Nichibutsu / AV Japan / Miki Syouji;640;240;0
packbang;Pack'n Bang Bang (prototype);1994;Kaneko;256;224;90
packmon;Packri Monster;1981;Bandai;1920;680;0
pacland;Pac-Land (World);1984;Namco;288;224;0
paclandp;Pac-Land (United Amusements PC Engine);1989;Namco;1088;242;0
pacmania;Pac-Mania;1987;Namco;288;224;270
pacnpal;Pac & Pal;1983;Namco;288;224;90
pacplus;Pac-Man Plus;1982;Namco (Midway license);288;224;90
pacslot;Pac-Slot;1996;Namco;320;240;0
paddlema;Paddle Mania;1988;SNK;256;224;90
pairlove;Pairs Love;1991;Athena;384;240;270
pairs;Pairs (V1.2, 09/30/94);1994;Strata/Incredible Technologies;384;240;0
pairsnb;Pairs (Nichibutsu) (Japan 890822);1989;Nichibutsu;512;240;0
pairsred;Pairs Redemption (V1.0, 10/25/94);1994;Strata/Incredible Technologies;384;240;0
palamed;Palamedes (US);1990;Hot-B Co., Ltd.;320;224;0
palestra;Palestra-02;1978;LPO;256;315;0
palmz22;Palm Z22;2005;Palm;160;160;0
pandoras;Pandora's Palace;1984;Konami / Interlogic;256;224;90
pang;Pang (World);1989;Mitchell;384;240;0
pang3;Pang! 3 (Euro 950601);1995;Mitchell;384;224;0
pangofun;Pango Fun (Italy);1995;InfoCube;640;480;0
pangpang;Pang Pang;1994;Dong Gue La Mi Ltd.;320;240;0
pangpoms;Pang Pom's;1992;Metro;360;224;0
panic;Space Panic (version E);1980;Universal;256;192;270
panicprk;Panic Park (World, PNP2 Ver. A);1997;Namco;640;480;0
panicr;Panic Road (Japan);1986;Seibu Kaihatsu (Taito license);256;224;270
panikuru;Panicuru Panekuru (Japan, PPA1 Ver.A);2002;Namco;640;480;0
panther;Panther;1981;Irem;256;240;270
paperboy;Paperboy (rev 3);1984;Atari Games;512;384;0
paprazzi;Paparazzi;1996;Yun Sung;380;224;270
papsudok;Plug and Play Sudoku (VT based?);200?;<unknown>;256;240;0
para2dx;Paradise 2 Deluxe;199?;Yun Sung;256;224;90
paradar;Paradar;1995?;Videos A A;640;480;0
paradice;Paradice (Dutch, Game Card 95-750-615);1995;BFM/ELAM;400;280;0
paradise;Paradise (set 1);1994;Yun Sung;256;224;90
paradlx;Paradise Deluxe;199?;Yun Sung;256;224;90
paranoia;Paranoia;1990;Naxat Soft;1088;242;0
parentj;Parent Jack (Japan);1989;Taito;512;448;0
parodius;Parodius DA! (World, set 1);1990;Konami;288;224;0
parrot3;Parrot Poker III (Version 2.6E Dual);2004;Amcoe;512;288;0
pasha2;Pasha Pasha 2;1998;Dong Sung;384;240;0
paso1600;Pasopia 1600;198?;Toshiba;640;480;0
pasogo;PasoGo;1996;KOEI;320;240;0
pasopia;Personal Computer Pasopia PA7010;1982;Toshiba;296;192;0
pasopia7;Pasopia 7 (Raster);1983;Toshiba;640;32;0
pass;Pass;1992;Oksan;320;224;0
passsht;Passing Shot (World, 2 Players) (FD1094 317-0080);1988;Sega;320;224;270
pastelg;Pastel Gal (Japan 851224);1985;Nichibutsu;256;224;0
pastelis;Pastel Island (Japan, prototype);1993;Visco;352;240;0
patapata;Pata Pata Panic;1993;Atlus;480;352;0
patimono;Mahjong Pachinko Monogatari (Japan);1992;Nichibutsu;640;240;0
patinho;Patinho Feio;1972;Escola Politecnica - Universidade de Sao Paulo;640;400;0
patinho;Patinho Feio;1972;Escola Politecnica - Universidade de Sao Paulo;640;400;0
pb1000;PB-1000;1987;Casio;192;32;0
pb2000c;PB-2000c;1989;Casio;192;32;0
pbaction;Pinball Action (set 1);1985;Tehkan;256;224;90
pballoon;Pioneer Balloon;1982;SNK;256;224;90
pbancho;Gyakuten!! Puzzle Bancho (Japan);1996;Fuuki;320;240;0
pbillian;Prebillian;1986;Kaneko / Taito;256;224;0
pbillrd;Perfect Billiard;1987;Nihon System;256;224;0
pbobble;Puzzle Bobble (Japan, B-System);1994;Taito Corporation;320;224;0
pbobble2;Puzzle Bobble 2 (Ver 2.3O 1995/07/31);1995;Taito Corporation Japan;320;232;0
pbobble3;Puzzle Bobble 3 (Ver 2.1O 1996/09/27);1996;Taito Corporation;320;232;0
pbobble4;Puzzle Bobble 4 (Ver 2.04O 1997/12/19);1997;Taito Corporation;320;232;0
pbqbert;Q*Bert (Parker Brothers);1983;Parker Brothers;603;1080;0
pbss330;Pit Boss Superstar III 30 (9233-00-01, Standard version);1993;Merit;543;465;0
pbst30;Pit Boss Supertouch 30 (9234-10-01);1994;Merit;543;465;0
pc100;PC-100;198?;NEC;768;512;0
pc1000;PreComputer 1000;1988;Video Technology;120;9;0
pc1245;Pocket Computer 1245;1982;Sharp;608;300;0
pc1250;Pocket Computer 1250;1982;Sharp;608;300;0
pc1260;Pocket Computer 1260;1982;Sharp;608;300;0
pc1350;Pocket Computer 1350;1984;Sharp;640;252;0
pc1401;Pocket Computer 1401;1983;Sharp;594;273;0
pc1403;Pocket Computer 1403;1986;Sharp;848;320;0
pc1450;Pocket Computer 1450;198?;Sharp;640;252;0
